profile_name,title,started_at,duration_sec,device_type
User 1,Chernobyl 1986,2022-04-28 16:08:56,6,Device Type 1
User 1,13 Hours: The Secret Soldiers of Benghazi,2022-04-28 15:54:30,579,Device Type 1
User 1,Saving Private Ryan,2022-04-28 15:53:20,6,Device Type 1
User 1,Mosul,2022-04-28 15:52:18,15,Device Type 1
User 1,12 Strong,2022-04-28 15:49:11,105,Device Type 1
User 1,Fifty Shades of Grey,2022-04-26 02:32:00,3,Device Type 1
User 1,Jaoon Kahan Bata Ae Dil,2022-04-26 02:26:33,273,Device Type 1
User 1,Jaoon Kahan Bata Ae Dil,2022-04-26 02:13:30,733,Device Type 1
User 1,Jaoon Kahan Bata Ae Dil,2022-04-26 02:13:28,1,Device Type 1
User 1,Jaoon Kahan Bata Ae Dil,2022-04-26 02:13:00,24,Device Type 1
User 1,Etharkkum Thunindhavan,2022-04-23 13:44:09,73,Device Type 4
User 1,Night Drive,2022-04-23 10:32:15,3,Device Type 4
User 1,Season 1 Trailer: All of Us Are Dead,2022-01-16 18:47:14,6,Device Type 1
User 1,Season 3 Moment of High Emotion Clip: Lost in Space,2022-01-14 14:57:44,23,Device Type 1
User 1,Peaky Blinders: Season 1_hook_primary_16x9,2022-01-14 14:57:20,6,Device Type 1
User 1,Narcos: Season 1 (Trailer),2022-01-14 14:55:42,36,Device Type 1
User 1,Season 1 Trailer 3: The Witcher,2022-01-14 14:55:33,4,Device Type 1
User 1,The Circle_hook_primary_16x9,2022-01-14 14:54:32,10,Device Type 1
User 1,Season 1 Main Character Intro Clip: Yeh Kaali Kaali Ankhein,2022-01-14 13:11:08,11,Device Type 1
User 1,Mandela (Tamil)_hook_04_16x9,2022-01-13 15:33:15,12,Device Type 1
User 1,The Circle_hook_primary_16x9,2022-01-09 06:53:38,13,Device Type 1
User 1,Main Character Intro Clip: MOTHER / ANDROID,2022-01-09 06:52:12,52,Device Type 1
User 1,Forrest Gump,2022-01-01 18:06:24,1940,Device Type 1
User 1,Mimi,2022-01-01 18:06:12,1,Device Type 1
User 1,Genre Specific Moment Clip: Minnal Murali,2022-01-01 10:01:39,10,Device Type 7
User 1,Minnal Murali,2022-01-01 08:57:31,3708,Device Type 7
User 1,Season 1 Trailer 2: The Queen's Gambit,2021-12-30 13:55:51,4,Device Type 1
User 1,Extraction,2021-12-29 17:41:40,9,Device Type 1
User 1,One,2021-12-29 17:38:41,10,Device Type 1
User 1,Bird Box,2021-12-29 17:37:44,28,Device Type 1
User 1,Cast Away_hook_02_16x9,2021-12-29 17:37:11,6,Device Type 1
User 1,Forrest Gump_hook_primary_16x9,2021-12-29 17:36:42,21,Device Type 1
User 1,Season 1 Trailer: The Silent Sea,2021-12-29 17:33:53,68,Device Type 1
User 1,Thambi,2021-12-29 17:33:23,7,Device Type 1
User 1,Beethoven,2021-12-28 13:10:54,852,Device Type 1
User 1,Friends: Season 1: The One Where Monica Gets a Roommate (Pilot) (Episode 1),2021-12-28 12:43:01,1279,Device Type 1
User 1,Trailer: Minnal Murali,2021-12-28 09:11:48,4,Device Type 7
User 1,Minnal Murali,2021-12-28 09:01:15,626,Device Type 7
User 1,Trailer: Minnal Murali,2021-12-28 09:00:59,13,Device Type 7
User 1,Sully,2021-12-28 08:59:35,18,Device Type 7
User 1,Kingdom: Ashin of the North,2021-12-28 08:58:03,1,Device Type 7
